시도,시군구,현재흡연율,고위험음주율,걷기실천율,비만율,우울감경험률,고혈압진단경험률,당뇨병진단경험률,미충족의료율,총인구,인구65세이상,고령인구비율,1인가구수,독거노인가구수,1인가구비율,독거노인비율,병의원수,종합병원수,총의사수,천명당병의원수,천명당의사수,십만명당종합병원수,건강축,인구축,접근성축,취약지수,클러스터
강원,강릉시,18.2,14.1,33.7,38.0,6.6,24.8,9.5,6.4,207874.0,52881.0,25.44,39796.0,13555.0,19.14,25.63,125,4,470,0.601,2.261,1.924,0.615,0.14,-0.476,0.093,0
강원,고성군,17.5,14.9,45.9,40.0,6.7,28.2,11.6,7.0,27079.5,8929.5,32.98,5371.0,2400.0,19.83,26.88,7,0,7,0.258,0.258,0.0,0.914,0.722,0.891,0.842,0
강원,동해시,21.8,19.5,35.3,37.8,4.2,26.1,9.8,2.2,87810.0,21308.0,24.27,14626.0,5844.0,16.66,27.43,51,2,94,0.581,1.07,2.278,0.709,0.324,-0.4,0.211,0
강원,삼척시,18.4,14.2,53.1,38.2,7.7,23.9,8.9,4.3,62033.5,18339.0,29.56,12918.0,5221.0,20.82,28.47,26,1,61,0.419,0.983,1.612,0.305,0.755,0.008,0.356,0
강원,속초시,21.3,21.8,47.4,36.9,4.1,23.4,12.2,7.4,81134.5,18911.0,23.31,15008.0,5396.0,18.5,28.53,70,2,111,0.863,1.368,2.465,0.916,0.423,-0.753,0.195,0
강원,양구군,18.7,16.5,39.2,43.2,6.9,23.4,10.9,8.6,20805.0,5375.5,25.84,3267.0,1271.0,15.7,23.64,8,0,23,0.385,1.106,0.0,0.986,-0.112,0.646,0.507,0
강원,양양군,18.7,13.1,38.5,40.5,7.8,26.9,11.8,5.7,27525.5,9537.0,34.65,5548.0,2611.0,20.16,27.38,6,0,5,0.218,0.182,0.0,0.934,0.882,0.937,0.918,0
강원,영월군,22.0,19.2,29.2,38.6,5.9,22.8,10.9,2.5,36861.0,12883.0,34.95,7817.0,3749.0,21.21,29.1,12,1,35,0.326,0.95,2.713,0.835,1.135,-0.341,0.543,0
강원,원주시,19.0,14.8,33.2,35.3,9.4,19.7,8.5,5.9,360381.5,66518.5,18.46,63311.0,16567.0,17.57,24.91,256,2,803,0.71,2.228,0.555,0.428,-0.339,-0.023,0.022,0
강원,인제군,22.4,17.8,42.0,39.3,4.1,25.6,12.6,10.5,31695.0,7796.5,24.6,5619.0,1963.0,17.73,25.18,6,0,13,0.189,0.41,0.0,1.184,0.032,0.923,0.713,0
강원,정선군,25.4,13.1,42.0,42.3,5.6,23.1,10.6,3.8,33731.5,11451.0,33.95,7122.0,3298.0,21.11,28.8,10,0,22,0.296,0.652,0.0,0.683,1.039,0.795,0.839,0
강원,철원군,20.6,17.3,33.3,46.6,5.0,25.7,10.8,6.4,40875.5,11272.5,27.58,6072.0,2703.0,14.85,23.98,18,0,33,0.44,0.807,0.0,1.138,0.029,0.651,0.606,0
강원,춘천시,17.7,15.2,39.2,36.5,6.4,19.0,9.0,14.2,285163.5,59823.0,20.98,50484.0,14262.0,17.7,23.84,190,2,711,0.666,2.493,0.701,0.557,-0.349,-0.089,0.04,0
강원,태백시,19.5,17.7,39.1,37.6,4.9,22.5,10.8,2.4,38201.0,11534.0,30.19,7562.0,3549.0,19.8,30.77,24,1,49,0.628,1.283,2.618,0.453,1.106,-0.607,0.317,1
