시도,시군구,현재흡연율,고위험음주율,걷기실천율,비만율,우울감경험률,고혈압진단경험률,당뇨병진단경험률,미충족의료율,건강취약지수
강원,강릉시,18.2,14.1,33.7,38.0,6.6,24.8,9.5,6.4,0.617
강원,고성군,17.5,14.9,45.9,40.0,6.7,28.2,11.6,7.0,0.917
강원,동해시,21.8,19.5,35.3,37.8,4.2,26.1,9.8,2.2,0.707
강원,삼척시,18.4,14.2,53.1,38.2,7.7,23.9,8.9,4.3,0.304
강원,속초시,21.3,21.8,47.4,36.9,4.1,23.4,12.2,7.4,0.915
강원,양구군,18.7,16.5,39.2,43.2,6.9,23.4,10.9,8.6,0.988
강원,양양군,18.7,13.1,38.5,40.5,7.8,26.9,11.8,5.7,0.938
강원,영월군,22.0,19.2,29.2,38.6,5.9,22.8,10.9,2.5,0.835
강원,원주시,19.0,14.8,33.2,35.3,9.4,19.7,8.5,5.9,0.428
강원,인제군,22.4,17.8,42.0,39.3,4.1,25.6,12.6,10.5,1.187
강원,정선군,25.4,13.1,42.0,42.3,5.6,23.1,10.6,3.8,0.684
강원,철원군,20.6,17.3,33.3,46.6,5.0,25.7,10.8,6.4,1.14
강원,춘천시,17.7,15.2,39.2,36.5,6.4,19.0,9.0,14.2,0.558
강원,태백시,19.5,17.7,39.1,37.6,4.9,22.5,10.8,2.4,0.451
강원,평창군,25.6,12.1,32.5,37.5,9.6,22.0,10.5,6.9,0.945
강원,홍천군,20.7,13.6,43.4,41.6,7.8,23.6,9.0,1.4,0.432
강원,화천군,20.8,13.3,47.5,37.1,4.7,23.1,11.3,6.3,0.43
강원,횡성군,16.9,14.5,39.4,38.8,6.6,21.5,8.7,2.4,0.141
경기,가평군,18.5,10.6,39.8,36.0,5.0,22.0,12.4,4.2,0.237
경기,고양시,14.6,10.5,49.8,35.1,6.0,21.4,9.4,4.4,-0.235
경기,과천시,9.0,4.4,57.9,25.2,7.7,14.4,6.2,3.6,-1.604
경기,광명시,10.7,8.3,67.0,30.1,2.1,18.5,8.4,3.8,-1.3
경기,광주시,14.8,11.1,36.8,38.4,6.7,21.2,9.9,3.1,0.05
경기,구리시,16.6,12.2,55.4,35.1,6.5,18.6,8.4,4.4,-0.335
경기,군포시,13.5,8.3,47.9,31.5,4.2,20.3,9.5,5.0,-0.587
경기,김포시,12.4,11.1,49.7,34.9,6.5,20.9,10.2,5.7,-0.164
경기,남양주시,19.0,13.5,50.6,37.0,8.1,20.9,10.1,6.6,0.363
경기,동두천시,24.2,15.9,40.6,40.5,9.4,26.0,12.6,7.9,1.454
경기,부천시,16.8,11.5,58.0,36.6,5.8,21.4,10.0,3.8,-0.152
경기,성남시,14.3,10.9,61.2,28.4,8.0,18.5,8.4,4.8,-0.623
경기,수원시,14.7,10.1,53.0,34.2,5.5,22.1,9.0,7.1,-0.216
경기,시흥시,18.7,10.7,53.8,34.3,6.2,21.0,9.9,4.9,-0.092
경기,안산시,22.7,11.8,41.1,36.3,8.3,22.7,10.5,6.6,0.638
경기,안성시,20.1,9.4,43.6,36.0,8.6,19.6,10.8,6.1,0.269
경기,안양시,12.0,10.6,56.8,31.9,7.0,19.3,7.7,2.5,-0.752
경기,양주시,21.3,15.3,40.5,39.1,8.0,23.7,9.7,3.8,0.67
경기,양평군,18.8,11.1,45.3,36.7,5.4,22.7,9.9,4.6,0.112
경기,여주시,20.5,14.5,42.6,37.1,5.0,22.3,11.1,9.6,0.639
경기,연천군,22.1,14.0,56.9,39.4,6.4,25.4,11.7,8.4,0.818
경기,오산시,17.5,13.4,52.8,37.9,7.2,22.8,11.4,5.1,0.377
경기,용인시,11.6,10.8,49.9,30.7,6.7,20.8,7.7,2.6,-0.657
경기,의왕시,14.8,9.7,45.8,33.2,5.7,20.7,9.0,7.1,-0.237
경기,의정부시,19.6,10.6,51.1,36.4,5.6,20.9,8.1,3.0,-0.244
경기,이천시,22.9,10.7,63.9,34.9,4.5,22.1,10.9,2.6,-0.113
경기,파주시,16.5,9.2,54.7,36.5,6.5,21.3,10.3,6.6,-0.042
경기,평택시,21.6,13.9,39.7,36.3,7.5,22.0,10.2,7.0,0.616
경기,포천시,23.8,16.3,44.7,41.3,5.3,24.8,12.3,2.9,0.867
경기,하남시,14.0,11.3,53.7,31.6,9.5,19.7,8.9,6.2,-0.185
경기,화성시,14.8,10.7,40.9,35.1,6.3,21.4,9.1,5.6,-0.072
경남,거제시,17.9,10.8,65.1,34.5,6.5,18.8,7.7,10.0,-0.266
경남,거창군,13.0,14.4,29.2,30.4,5.4,22.3,8.7,3.1,-0.136
경남,고성군,18.9,14.2,45.2,35.8,5.8,18.6,9.9,9.1,0.253
경남,김해시,15.2,12.5,58.1,36.3,3.1,19.4,8.8,1.5,-0.643
경남,남해군,15.2,15.8,47.0,40.2,8.5,20.4,9.5,8.6,0.503
경남,밀양시,18.7,9.1,42.1,32.6,5.6,19.5,6.9,1.1,-0.601
경남,사천시,15.8,15.3,43.1,39.9,5.5,23.4,10.5,4.5,0.389
경남,산청군,19.3,13.6,41.1,34.3,7.3,19.8,11.0,7.5,0.411
경남,양산시,17.9,11.7,55.0,31.6,4.3,18.4,7.0,2.7,-0.742
경남,의령군,14.0,7.2,52.4,28.1,1.8,20.8,11.3,4.2,-0.787
